Temperature,Range Loss
-40,-67.29988911
-39.9,-67.25987633
-39.8,-67.21973255
-39.7,-67.17945662
-39.6,-67.13904736
-39.5,-67.09850361
-39.4,-67.0578242
-39.3,-67.01700798
-39.2,-66.97605377
-39.1,-66.93496041
-39,-66.89372674
-38.9,-66.8523516
-38.8,-66.81083382
-38.7,-66.76917224
-38.6,-66.7273657
-38.5,-66.68541303
-38.4,-66.64331308
-38.3,-66.60106469
-38.2,-66.55866668
-38.1,-66.51611792
-38,-66.47341723
-37.9,-66.43056345
-37.8,-66.38755544
-37.7,-66.34439202
-37.6,-66.30107204
-37.5,-66.25759435
-37.4,-66.21395778
-37.3,-66.17016119
-37.2,-66.12620341
-37.1,-66.08208328
-37,-66.03779966
-36.9,-65.99335139
-36.8,-65.9487373
-36.7,-65.90395626
-36.6,-65.8590071
-36.5,-65.81388868
-36.4,-65.76859983
-36.3,-65.7231394
-36.2,-65.67750625
-36.1,-65.63169922
-36,-65.58571716
-35.9,-65.53955892
-35.8,-65.49322335
-35.7,-65.44670929
-35.6,-65.40001561
-35.5,-65.35314114
-35.4,-65.30608474
-35.3,-65.25884526
-35.2,-65.21142156
-35.1,-65.16381248
-35,-65.11601688
-34.9,-65.0680336
-34.8,-65.01986152
-34.7,-64.97149947
-34.6,-64.92294631
-34.5,-64.8742009
-34.4,-64.82526209
-34.3,-64.77612874
-34.2,-64.7267997
-34.1,-64.67727382
-34,-64.62754998
-33.9,-64.57762702
-33.8,-64.52750379
-33.7,-64.47717917
-33.6,-64.426652
-33.5,-64.37592115
-33.4,-64.32498547
-33.3,-64.27384382
-33.2,-64.22249506
-33.1,-64.17093806
-33,-64.11917167
-32.9,-64.06719476
-32.8,-64.01500619
-32.7,-63.96260481
-32.6,-63.90998949
-32.5,-63.8571591
-32.4,-63.80411249
-32.3,-63.75084853
-32.2,-63.69736608
-32.1,-63.64366402
-32,-63.58974119
-31.9,-63.53559647
-31.8,-63.48122873
-31.7,-63.42663682
-31.6,-63.37181962
-31.5,-63.31677599
-31.4,-63.2615048
-31.3,-63.20600492
-31.2,-63.15027521
-31.1,-63.09431454
-31,-63.03812178
-30.9,-62.98169581
-30.8,-62.92503548
-30.7,-62.86813967
-30.6,-62.81100726
-30.5,-62.7536371
-30.4,-62.69602808
-30.3,-62.63817905
-30.2,-62.58008891
-30.1,-62.52175651
-30,-62.46318073
-29.9,-62.40436045
-29.8,-62.34529453
-29.7,-62.28598185
-29.6,-62.22642129
-29.5,-62.16661172
-29.4,-62.10655201
-29.3,-62.04624105
-29.2,-61.9856777
-29.1,-61.92486084
-29,-61.86378936
-28.9,-61.80246211
-28.8,-61.740878
-28.7,-61.67903589
-28.6,-61.61693465
-28.5,-61.55457318
-28.4,-61.49195034
-28.3,-61.42906503
-28.2,-61.36591611
-28.1,-61.30250247
-28,-61.23882299
-27.9,-61.17487654
-27.8,-61.11066203
-27.7,-61.04617831
-27.6,-60.98142428
-27.5,-60.91639882
-27.4,-60.85110082
-27.3,-60.78552914
-27.2,-60.71968269
-27.1,-60.65356035
-27,-60.58716099
-26.9,-60.52048351
-26.8,-60.45352678
-26.7,-60.3862897
-26.6,-60.31877116
-26.5,-60.25097003
-26.4,-60.18288521
-26.3,-60.11451559
-26.2,-60.04586004
-26.1,-59.97691747
-26,-59.90768676
-25.9,-59.83816679
