Temperature,Tesla Factors,Not Tesla Factors
-23.0,,0.423087273
-22.9,,0.423874362
-22.8,,0.424664691
-22.7,,0.42545827
-22.6,,0.426255111
-22.5,,0.427055223
-22.4,,0.427858618
-22.3,,0.428665305
-22.2,,0.429475295
-22.1,,0.430288599
-22.0,,0.431105228
-21.9,,0.431925192
-21.8,,0.432748501
-21.7,,0.433575167
-21.6,,0.4344052
-21.5,,0.435238611
-21.4,,0.43607541
-21.3,,0.436915609
-21.2,,0.437759218
-21.1,,0.438606248
-21.0,,0.439456709
-20.9,,0.440310613
-20.8,,0.441167969
-20.7,,0.44202879
-20.6,,0.442893086
-20.5,,0.443760867
-20.4,,0.444632145
-20.3,,0.445506931
-20.2,,0.446385234
-20.1,,0.447267067
-20.0,0.557469552,0.44815244
-19.9,0.558319745,0.449041364
-19.8,0.55917304,0.449933849
-19.7,0.56002944,0.450829907
-19.6,0.560888949,0.45172955
-19.5,0.561751572,0.452632786
-19.4,0.562617312,0.453539628
-19.3,0.563486172,0.454450086
-19.2,0.564358157,0.455364172
-19.1,0.565233269,0.456281895
-19.0,0.566111514,0.457203268
-18.9,0.566992893,0.458128301
-18.8,0.567877411,0.459057004
-18.7,0.568765071,0.45998939
-18.6,0.569655876,0.460925468
-18.5,0.57054983,0.46186525
-18.4,0.571446936,0.462808746
-18.3,0.572347198,0.463755968
-18.2,0.573250617,0.464706926
-18.1,0.574157199,0.465661631
-18.0,0.575066945,0.466620093
-17.9,0.57597986,0.467582325
-17.8,0.576895945,0.468548336
-17.7,0.577815203,0.469518138
-17.6,0.578737638,0.470491741
-17.5,0.579663253,0.471469156
-17.4,0.580592049,0.472450393
-17.3,0.581524031,0.473435464
-17.2,0.582459199,0.474424379
-17.1,0.583397558,0.47541715
-17.0,0.584339109,0.476413785
-16.9,0.585283855,0.477414297
-16.8,0.586231798,0.478418696
-16.7,0.58718294,0.479426993
-16.6,0.588137284,0.480439197
-16.5,0.589094832,0.48145532
-16.4,0.590055586,0.482475372
-16.3,0.591019548,0.483499364
-16.2,0.591986719,0.484527306
-16.1,0.592957102,0.485559209
-16.0,0.593930698,0.486595082
-15.9,0.594907509,0.487634937
-15.8,0.595887536,0.488678783
-15.7,0.596870782,0.489726631
-15.6,0.597857247,0.490778491
-15.5,0.598846933,0.491834373
-15.4,0.599839841,0.492894288
-15.3,0.600835972,0.493958245
-15.2,0.601835327,0.495026255
-15.1,0.602837908,0.496098327
-15.0,0.603843714,0.497174471
-14.9,0.604852748,0.498254698
-14.8,0.605865008,0.499339018
-14.7,0.606880497,0.500427439
-14.6,0.607899215,0.501519972
-14.5,0.608921161,0.502616626
-14.4,0.609946336,0.503717412
-14.3,0.610974741,0.504822338
-14.2,0.612006375,0.505931413
-14.1,0.613041239,0.507044648
-14.0,0.614079331,0.508162052
-13.9,0.615120653,0.509283634
-13.8,0.616165203,0.510409403
-13.7,0.617212981,0.511539368
-13.6,0.618263986,0.512673539
-13.5,0.619318218,0.513811923
-13.4,0.620375675,0.514954531
-13.3,0.621436357,0.516101371
-13.2,0.622500263,0.517252451
-13.1,0.623567391,0.518407781
-13.0,0.62463774,0.519567368
-12.9,0.625711308,0.520731221
-12.8,0.626788094,0.521899349
-12.7,0.627868096,0.52307176
-12.6,0.628951312,0.524248461
-12.5,0.630037741,0.525429461
-12.4,0.631127379,0.526614768
-12.3,0.632220224,0.527804389
-12.2,0.633316274,0.528998333
-12.1,0.634415527,0.530196606
-12.0,0.635517979,0.531399217
-11.9,0.636623628,0.532606173
-11.8,0.63773247,0.53381748
-11.7,0.638844503,0.535033146
-11.6,0.639959722,0.536253178
-11.5,0.641078125,0.537477583
-11.4,0.642199707,0.538706368
-11.3,0.643324465,0.539939538
-11.2,0.644452394,0.541177101
-11.1,0.645583491,0.542419063
-11.0,0.646717751,0.54366543
-10.9,0.647855169,0.544916208
-10.8,0.648995741,0.546171403
-10.7,0.650139461,0.54743102
-10.6,0.651286325,0.548695065
-10.5,0.652436328,0.549963543
-10.4,0.653589463,0.551236461
-10.3,0.654745725,0.552513822
-10.2,0.655905109,0.553795631
-10.1,0.657067608,0.555081894
-10.0,0.658233216,0.556372615
-9.9,0.659401926,0.557667797
-9.8,0.660573733,0.558967447
-9.7,0.661748628,0.560271566
-9.6,0.662926606,0.561580159
-9.5,0.664107658,0.562893231
-9.4,0.665291778,0.564210783
