Temperature,Not Tesla Factors - 10th,Not Tesla Factors - overall,Not Tesla Factors - 90th,Tesla Factors - 10th,Tesla Factors - overall,Tesla Factors - 90th
-23.0,0.293100333,0.423087273,0.542401766,,,
-22.9,0.293688864,0.423874362,0.543469767,,,
-22.8,0.294277335,0.424664691,0.544541853,,,
-22.7,0.294865754,0.42545827,0.545618036,,,
-22.6,0.295454126,0.426255111,0.546698332,,,
-22.5,0.29604246,0.427055223,0.547782753,,,
-22.4,0.296630762,0.427858618,0.548871312,,,
-22.3,0.297219039,0.428665305,0.549964024,,,
-22.2,0.297807299,0.429475295,0.551060901,,,
-22.1,0.298395548,0.430288599,0.552161958,,,
-22.0,0.298983794,0.431105228,0.553267208,,,
-21.9,0.299572046,0.431925192,0.554376665,,,
-21.8,0.30016031,0.432748501,0.555490342,,,
-21.7,0.300748595,0.433575167,0.556608253,,,
-21.6,0.301336908,0.4344052,0.557730412,,,
-21.5,0.301925258,0.435238611,0.558856832,,,
-21.4,0.302513653,0.43607541,0.559987527,,,
-21.3,0.303102101,0.436915609,0.56112251,,,
-21.2,0.303690611,0.437759218,0.562261797,,,
-21.1,0.304279191,0.438606248,0.563405399,,,
-21.0,0.304867849,0.439456709,0.564553332,,,
-20.9,0.305456595,0.440310613,0.565705608,,,
-20.8,0.306045438,0.441167969,0.566862242,,,
-20.7,0.306634386,0.44202879,0.568023247,,,
-20.6,0.307223449,0.442893086,0.569188637,,,
-20.5,0.307812636,0.443760867,0.570358426,,,
-20.4,0.308401956,0.444632145,0.571532628,,,
-20.3,0.308991419,0.445506931,0.572711256,,,
-20.2,0.309581033,0.446385234,0.573894324,,,
-20.1,0.31017081,0.447267067,0.575081847,,,
-20.0,0.310760759,0.44815244,0.576273837,0.408434069,0.557469552,0.663394784
-19.9,0.311350889,0.449041364,0.577470309,0.408979861,0.558319745,0.664653525
-19.8,0.31194121,0.449933849,0.578671277,0.409523108,0.55917304,0.665915931
-19.7,0.312531734,0.450829907,0.579876754,0.410063837,0.56002944,0.66718201
-19.6,0.313122469,0.45172955,0.581086754,0.410602079,0.560888949,0.668451768
-19.5,0.313713426,0.452632786,0.582301291,0.41113786,0.561751572,0.669725213
-19.4,0.314304616,0.453539628,0.583520379,0.411671211,0.562617312,0.671002352
-19.3,0.314896049,0.454450086,0.584744032,0.41220216,0.563486172,0.672283192
-19.2,0.315487735,0.455364172,0.585972263,0.412730736,0.564358157,0.673567741
-19.1,0.316079687,0.456281895,0.587205086,0.413256971,0.565233269,0.674856005
-19.0,0.316671913,0.457203268,0.588442515,0.413780893,0.566111514,0.676147991
-18.9,0.317264425,0.458128301,0.589684563,0.414302532,0.566992893,0.677443706
-18.8,0.317857235,0.459057004,0.590931246,0.41482192,0.567877411,0.678743157
-18.7,0.318450353,0.45998939,0.592182575,0.415339087,0.568765071,0.680046351
-18.6,0.319043791,0.460925468,0.593438565,0.415854064,0.569655876,0.681353294
-18.5,0.31963756,0.46186525,0.59469923,0.416366883,0.57054983,0.682663994
-18.4,0.320231671,0.462808746,0.595964584,0.416877573,0.571446936,0.683978455
-18.3,0.320826135,0.463755968,0.59723464,0.417386169,0.572347198,0.685296686
-18.2,0.321420965,0.464706926,0.598509411,0.4178927,0.573250617,0.686618692
-18.1,0.322016172,0.465661631,0.599788912,0.418397199,0.574157199,0.687944479
-18.0,0.322611769,0.466620093,0.601073156,0.418899699,0.575066945,0.689274054
